Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
400654,Kenya,2008,aEPEC,302,cluster_89,cluster_89,pheV,7,ERS085386
400714,Kenya,2008,aEPEC,10,CG10,cluster_14,pheV,12,ERS085387
400792,Kenya,2008,aEPEC,337,cluster_15,cluster_15,CQ,CQ,ERS150870
400871,Kenya,2008,aEPEC,40,CG40,cluster_27,pheV,12,ERS150902
400896,Kenya,2008,aEPEC,328,CG328,cluster_3,pheV,8,ERS139227
400897,Kenya,2009,aEPEC,29,CG29,cluster_31,pheV,8,ERS085421
400998,Kenya,2008,aEPEC,34,cluster_8,cluster_8,selC,9,ERS085389
401082,Kenya,2008,aEPEC,10,CG10,cluster_14,pheV,12,ERS139228
401174,Kenya,2008,aEPEC,10,CG10,cluster_14,CQ,CQ,ERS085423
401177,Kenya,2008,aEPEC,517,CG517,cluster_5,selC,22,ERR137822
401250,Kenya,2008,aEPEC,NF*,cluster_33,cluster_33,selC,28,ERS085390
401352,Kenya,2008,aEPEC,589,cluster_17,cluster_17,selC,26,ERS139249
401363,Kenya,2008,aEPEC,589,cluster_17,cluster_17,selC,26,ERS139229
401436,Kenya,2008,aEPEC,40,CG40,cluster_27,pheV,8,ERS150903
401480,Kenya,2008,aEPEC,4554,cluster_12,cluster_12,selC,29,ERS085434
401529,Kenya,2008,aEPEC,NF*,CG29,cluster_7,CQ,CQ,ERS139277
401553,Kenya,2008,aEPEC,17,CG3,cluster_4,pheV,6,ERS139205
401596,Kenya,2008,aEPEC,121,CG121,cluster_26,selC,30,ERS085391
401686,Kenya,2008,aEPEC,10*,CG10,cluster_14,pheV,12,ERS139250
401709,Kenya,2008,aEPEC,121,CG121,cluster_26,selC,30,ERS085424
401886,Kenya,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085392
401907,Kenya,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS139251
401938,Kenya,2009,aEPEC,583,cluster_36,cluster_36,selC,14,ERS085393
402048,Kenya,2009,aEPEC,583,cluster_36,cluster_36,selC,14,ERS085353
402058,Kenya,2009,aEPEC,517,CG517,cluster_5,selC,17,ERS085425
402074,Kenya,2009,aEPEC,40,CG40,cluster_27,pheV,8,ERS085394
402077,Kenya,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS150871
402078,Kenya,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS139230
402097,Kenya,2009,aEPEC,129*,cluster_80,cluster_80,pheV,6,ERS085426
402099,Kenya,2009,aEPEC,40,CG40,cluster_27,pheV,8,ERS085354
402138,Kenya,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS085439
402227,Kenya,2009,aEPEC,29,CG29,cluster_31,pheV,8,ERS085427
402248,Kenya,2009,aEPEC,301,CG301,cluster_1,pheU,2,ERS085355
402403,Kenya,2009,aEPEC,4554,cluster_12,cluster_12,selC,29,ERS139231
402480,Kenya,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS085395
402605,Kenya,2009,aEPEC,328,CG328,cluster_3,CQ,CQ,ERS139244
402617,Kenya,2009,aEPEC,34,cluster_8,cluster_8,selC,9,ERS139206
402635,Kenya,2009,aEPEC,29,CG29,cluster_31,pheV,8,ERS139207
402654,Kenya,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085356
402696,Kenya,2009,aEPEC,4554,cluster_12,cluster_12,selC,29,ERS139252
402743,Kenya,2009,aEPEC,NF*,CG378,cluster_20,pheU,1,ERS085396
402767,Kenya,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS139253
402770,Kenya,2009,aEPEC,NF*,CG29,cluster_7,CQ,CQ,ERS085357
402780,Kenya,2009,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085397
402794,Kenya,2009,aEPEC,301,CG301,cluster_1,pheU,2,ERS139254
402798,Kenya,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS139232
402837,Kenya,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS139233
402842,Kenya,2009,aEPEC,328,CG328,cluster_3,pheU,8,ERS139255
402898,Kenya,2010,aEPEC,21,CG29,cluster_7,pheU,8,ERS139234
402924,Kenya,2009,aEPEC,NF*,cluster_65,cluster_65,pheV,12,ERS139208
402977,Kenya,2009,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085398
403066,Kenya,2010,aEPEC,328,CG328,cluster_3,pheV,8,ERS139209
403096,Kenya,2010,GEMStEPEC,3,CG3,cluster_4,pheV,8,ERS085399
403128,Kenya,2010,GEMStEPEC,562*,cluster_44,cluster_44,selC,23,ERS085358
403308,Kenya,2010,aEPEC,29,CG29,cluster_42,pheV,5,ERS085359
403523,Kenya,2010,aEPEC,4550,cluster_19,cluster_19,pheV,7,ERS139256
403726,Kenya,2010,aEPEC,4590,CG301,cluster_1,pheU,2,ERS085400
403728,Kenya,2010,aEPEC,301,CG301,cluster_1,pheU,2,ERS139211
500007,India,2007,aEPEC,328,CG328,cluster_3,pheV,8,ERS139273
500094,India,2008,aEPEC,29,CG29,cluster_7,CQ,CQ,ERS139257
500095,India,2008,aEPEC,517,CG517,cluster_5,selC,22,ERS139258
