"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5611126,ERS356953,11657_7#4,ERR434454
2796STDY5611127,ERS356954,11657_7#5,ERR434455
2796STDY5611130,ERS356957,11657_7#6,ERR434456
2796STDY5611134,ERS356961,11657_7#7,ERR434457
2796STDY5611135,ERS356962,11657_7#8,ERR434458
2796STDY5611139,ERS356966,11657_7#9,ERR434459
2796STDY5611141,ERS356968,11657_7#10,ERR434460
2796STDY5611143,ERS356970,11657_7#11,ERR434461
2796STDY5611144,ERS356971,11657_7#12,ERR434462
2796STDY5611148,ERS356975,11657_7#13,ERR434463
2796STDY5611153,ERS356980,11657_7#14,ERR434464
2796STDY5611154,ERS356981,11657_7#15,ERR434465
2796STDY5611160,ERS356987,11657_7#16,ERR434466
2796STDY5611175,ERS357002,11657_7#17,ERR434467
2796STDY5611188,ERS357015,11657_7#18,ERR434468
2796STDY5611192,ERS357019,11657_7#19,ERR434469
2796STDY5611304,ERS357120,11657_7#20,ERR434470
2796STDY5611310,ERS357126,11657_7#21,ERR434471
2796STDY5611313,ERS357129,11657_7#22,ERR434472
2796STDY5611317,ERS357133,11657_7#23,ERR434473
2796STDY5611328,ERS357144,11657_7#24,ERR434474
2796STDY5611345,ERS357161,11657_7#25,ERR434475
2796STDY5611346,ERS357162,11657_7#26,ERR434476
2796STDY5611360,ERS357176,11657_7#27,ERR434477
2796STDY5611372,ERS357188,11657_7#28,ERR434478
2796STDY5611383,ERS357199,11657_7#29,ERR434479
2796STDY5611390,ERS357201,11657_7#30,ERR434480
2796STDY5611405,ERS357215,11657_7#31,ERR434481
2796STDY5611413,ERS357223,11657_7#32,ERR434482
2796STDY5611463,ERS357273,11657_7#33,ERR434483
2796STDY5611469,ERS357279,11657_7#34,ERR434484
2796STDY5611538,ERS357347,11657_7#35,ERR434485
2796STDY5611546,ERS357355,11657_7#36,ERR434486
2796STDY5611576,ERS357384,11657_7#37,ERR434487
2796STDY5611586,ERS357389,11657_7#38,ERR434488
2796STDY5611622,ERS357425,11657_7#39,ERR434489
2796STDY5611629,ERS357432,11657_7#40,ERR434490
2796STDY5611676,ERS357478,11657_7#41,ERR434491
2796STDY5611711,ERS357512,11657_7#42,ERR434492
2796STDY5611712,ERS357513,11657_7#43,ERR434493
2796STDY5611725,ERS357526,11657_7#44,ERR434494
2796STDY5611772,ERS357573,11657_7#45,ERR434495
2796STDY5611798,ERS357598,11657_7#46,ERR434496
2796STDY5611823,ERS357623,11657_7#47,ERR434497
2796STDY5611832,ERS357632,11657_7#48,ERR434498
2796STDY5611833,ERS357633,11657_7#49,ERR434499
2796STDY5611840,ERS357640,11657_7#50,ERR434500
2796STDY5611856,ERS357656,11657_7#51,ERR434501
2796STDY5611892,ERS357689,11657_7#52,ERR434502
2796STDY5611905,ERS357702,11657_7#53,ERR434503
2796STDY5611911,ERS357708,11657_7#54,ERR434504
2796STDY5611917,ERS357714,11657_7#55,ERR434505
2796STDY5611921,ERS357718,11657_7#56,ERR434506
2796STDY5611940,ERS357737,11657_7#57,ERR434507
2796STDY5611945,ERS357742,11657_7#58,ERR434508
2796STDY5611952,ERS357749,11657_7#59,ERR434509
2796STDY5611958,ERS357755,11657_7#60,ERR434510
2796STDY5611993,ERS357786,11657_7#61,ERR434511
2796STDY5611995,ERS357788,11657_7#62,ERR434512
2796STDY5612016,ERS357809,11657_7#63,ERR434513
2796STDY5612018,ERS357811,11657_7#64,ERR434514
2796STDY5612019,ERS357812,11657_7#65,ERR434515
2796STDY5612055,ERS357845,11657_7#66,ERR434516
2796STDY5612062,ERS357846,11657_7#67,ERR434517
2796STDY5612066,ERS357850,11657_7#68,ERR434518
2796STDY5612073,ERS357857,11657_7#69,ERR434519
2796STDY5612093,ERS357877,11657_7#70,ERR434520
2796STDY5612095,ERS357879,11657_7#71,ERR434521
2796STDY5612101,ERS357885,11657_7#72,ERR434522
2796STDY5612113,ERS357897,11657_7#73,ERR434523
2796STDY5612123,ERS357907,11657_7#74,ERR434524
2796STDY5612124,ERS357908,11657_7#75,ERR434525
2796STDY5612125,ERS357909,11657_7#76,ERR434526
2796STDY5612127,ERS357911,11657_7#77,ERR434527
2796STDY5612133,ERS357917,11657_7#78,ERR434528
2796STDY5612141,ERS357925,11657_7#79,ERR434529
2796STDY5612148,ERS357932,11657_7#80,ERR434530
2796STDY5612164,ERS357947,11657_7#81,ERR434531
2796STDY5612186,ERS357969,11657_7#82,ERR434532
2796STDY5612192,ERS357975,11657_7#83,ERR434533
2796STDY5612220,ERS358003,11657_7#84,ERR434534
2796STDY5612226,ERS358009,11657_7#85,ERR434535
2796STDY5612235,ERS358018,11657_7#86,ERR434536
2796STDY5612270,ERS358052,11657_7#87,ERR434537
2796STDY5612295,ERS358077,11657_7#88,ERR434538
2796STDY5612369,ERS358150,11657_7#89,ERR434539
2796STDY5612410,ERS358191,11657_7#90,ERR434540
2796STDY5612443,ERS358224,11657_7#91,ERR434541
2796STDY5612470,ERS358250,11657_7#92,ERR434542
2796STDY5612482,ERS358262,11657_7#93,ERR434543
2796STDY5612488,ERS358266,11657_7#94,ERR434544
