identifier, reads, source
C581-05,AIBE00000000,hazen2013?
C586-05,AIBG00000000,hazen2013?
C79-08,AIBQ00000000,hazen2013?
C887-10,AICB00000000,hazen2013?
aajw00000000,PRJNA15578,hazen2013
adus00000000,PRJNA40279,hazen2013
C725-88,AIBL00000000,hazen2013?
C418-89,AIAY00000000,hazen2013?
C238-91,AIAN00000000,hazen2013?
C9-92,AICE00000000,hazen2013?
C260-92,AIAO00000000,hazen2013?
C527-94,AIBD00000000,hazen2013?
C844-97,AIBZ00000000,hazen2013?
C732-98,AIBM00000000,hazen2013?
C743-03,AIBN00000000,hazen2013?
C751-03,AIBO00000000,hazen2013?
C80-08,AIBU00000000,hazen2013?
C343-08,AIAT00000000,hazen2013?
C639-08,AIBH00000000,hazen2013?
C283-09,AIAQ00000000,hazen2013?
C353-09,AIAV00000000,hazen2013?
C78-09C,AIBP00000000,hazen2013?
C807-09,AIBV00000000,hazen2013?
C213-10,AIAL00000000,hazen2013?
C262-10,AIAP00000000,hazen2013?
C295-10,AIAR00000000,hazen2013?
C458-10,AIAZ00000000,hazen2013?
C496-10,AIBB00000000,hazen2013?
C652-10,AIBI00000000,hazen2013?
C796-10,AIBS00000000,hazen2013?
C40-11,AIAX00000000,hazen2013?
C58-11,AIBF00000000,hazen2013?
C87-11,AICA00000000,hazen2013?
C93-11,AICD00000000,hazen2013?
C161-11,AIAI00000000,hazen2013?
aakb00000000,PRJNA15639,hazen2013
nc_009800,PRJNA13959,hazen2013
ATCC8739,NC_010468,hazen2013?
nc_012947,PRJNA30681,hazen2013
nc_012759,PRJNA33775,hazen2013
nc_017633,PRJEA42749,hazen2013
TY-2482,AFOG01000000,hazen2013?
B7A,AAJT02000000,hazen2013?
nc_009801,PRJNA13960,hazen2013
nc_011741,PRJNA33373,hazen2013
nc_011415,PRJNA18057,hazen2013
nc_011748,PRJNA33413,hazen2013
nc_004431,PRJNA313,hazen2013
nc_011742,PRJNA33375,hazen2013
nc_007946,PRJNA16259,hazen2013
nc_008253,PRJNA16235,hazen2013
fn554766,PRJEA40647,hazen2013
nc_011751,PRJNA62981,hazen2013
nc_011750,PRJNA59381,hazen2013
nc_010498,PRJNA19469,hazen2013
S.flexneri2457T,NC_004741,hazen2013?
S.sonnei046,NC_007384,hazen2013?
S.boydii3083,NC_010658,hazen2013?
S.dysenteriaeSd197,NC_007606,hazen2013?
