identifier,reads,source
esc_sa4839aa_as,SRR7266386,enterobase
esc_sa4804aa_as,SRR7266833,enterobase
esc_ja8943aa_as,SRR5023943,enterobase
esc_pa9511aa_as,SRR6144113,enterobase
esc_qa9936aa_as,SRR6317426,enterobase
esc_qa4810aa_as,SRR6286263,enterobase
esc_pa5545aa_as,SRR6052926,enterobase
esc_ca0042aa_as,SRR785786,enterobase
esc_ca0042aa_as,SRR785787,enterobase
esc_ca0042aa_as,SRR958538,enterobase
esc_ca0042aa_as,SRR958539,enterobase
esc_pa7917aa_as,SRR6079353,enterobase
esc_sa2347aa_as,SRR7187895,enterobase
esc_ca3689aa_as,ERR191699,enterobase
esc_ja4449aa_as,SRR4787069,enterobase
esc_pa5430aa_as,SRR6052802,enterobase
esc_ja7788aa_as,SRR5005432,enterobase
esc_ba5944aa_as,SRR1980975,enterobase
esc_sa5771aa_as,SRR7285555,enterobase
esc_ga8873aa_as,SRR3574311,enterobase
esc_ma8833aa_as,SRR5470155,enterobase
esc_ba7356aa_as,SRR1981411,enterobase
esc_ja4808aa_as,SRR4788264,enterobase
esc_ja9233aa_as,SRR5024226,enterobase
esc_ca3659aa_as,ERR161235,enterobase
esc_pa5342aa_as,SRR6052706,enterobase
esc_sa4443aa_as,SRR7256956,enterobase
esc_sa4944aa_as,SRR7274863,enterobase
esc_ja7660aa_as,SRR5005539,enterobase
esc_ma8210aa_as,SRR5469643,enterobase
esc_ka7578aa_as,SRR5082118,enterobase
esc_ja5393aa_as,SRR5005550,enterobase
esc_sa6794aa_as,SRR7367423,enterobase
esc_sa2815aa_as,SRR7209046,enterobase
esc_ia1209aa_as,SRR4181326,enterobase
esc_pa5194aa_as,SRR6052021,enterobase
esc_ha8665aa_as,SRR3989534,enterobase
esc_ba2547aa_as,SRR1981617,enterobase
esc_pa2019aa_as,SRR5963896,enterobase
esc_ca5436aa_as,ERR161278,enterobase
esc_sa6850aa_as,SRR7368868,enterobase
esc_ca4831aa_as,SRR1981384,enterobase
esc_ha0897aa_as,SRR3574030,enterobase
esc_ca0719aa_as,ERR161277,enterobase
esc_sa6949aa_as,SRR7401693,enterobase
esc_fa8179aa_as,SRR3000443,enterobase
esc_ca5584aa_as,SRR785324,enterobase
esc_ca5584aa_as,SRR785325,enterobase
esc_ca5584aa_as,SRR800419,enterobase
esc_ca5584aa_as,SRR800516,enterobase
