identifier,reads,source
SRR3169760,SRR3169760,pathogen_detection
SRR5306515,SRR5306515,pathogen_detection
SRR5306516,SRR5306516,pathogen_detection
SRR5306517,SRR5306517,pathogen_detection
SRR5306520,SRR5306520,pathogen_detection
SRR5306524,SRR5306524,pathogen_detection
SRR5306527,SRR5306527,pathogen_detection
SRR5306534,SRR5306534,pathogen_detection
SRR3169761,SRR3169761,pathogen_detection
SRR5306585,SRR5306585,pathogen_detection
SRR3510626,SRR3510626,pathogen_detection
SRR5306566,SRR5306566,pathogen_detection
SRR5306594,SRR5306594,pathogen_detection
SRR5312129,SRR5312129,pathogen_detection
SRR5312131,SRR5312131,pathogen_detection
SRR5312135,SRR5312135,pathogen_detection
SRR5312136,SRR5312136,pathogen_detection
SRR5312138,SRR5312138,pathogen_detection
SRR5312139,SRR5312139,pathogen_detection
SRR5312140,SRR5312140,pathogen_detection
SRR5312141,SRR5312141,pathogen_detection
SRR5312143,SRR5312143,pathogen_detection
SRR5312144,SRR5312144,pathogen_detection
SRR5312145,SRR5312145,pathogen_detection
SRR5312146,SRR5312146,pathogen_detection
SRR5312147,SRR5312147,pathogen_detection
SRR5312149,SRR5312149,pathogen_detection
SRR5312150,SRR5312150,pathogen_detection
SRR5312151,SRR5312151,pathogen_detection
SRR5312152,SRR5312152,pathogen_detection
SRR5312154,SRR5312154,pathogen_detection
SRR5312156,SRR5312156,pathogen_detection
SRR5312157,SRR5312157,pathogen_detection
SRR5312158,SRR5312158,pathogen_detection
SRR5312160,SRR5312160,pathogen_detection
SRR5312186,SRR5312186,pathogen_detection
SRR5312190,SRR5312190,pathogen_detection
SRR5312191,SRR5312191,pathogen_detection
SRR5312192,SRR5312192,pathogen_detection
SRR5312196,SRR5312196,pathogen_detection
SRR5312213,SRR5312213,pathogen_detection
SRR5312215,SRR5312215,pathogen_detection
SRR5312217,SRR5312217,pathogen_detection
SRR5312218,SRR5312218,pathogen_detection
SRR5312222,SRR5312222,pathogen_detection
SRR5312225,SRR5312225,pathogen_detection
SRR5312226,SRR5312226,pathogen_detection
SRR5312228,SRR5312228,pathogen_detection
SRR5312237,SRR5312237,pathogen_detection
SRR5312238,SRR5312238,pathogen_detection
SRR5306523,SRR5306523,pathogen_detection
SRR5306593,SRR5306593,pathogen_detection
SRR5306597,SRR5306597,pathogen_detection
SRR5306598,SRR5306598,pathogen_detection
SRR5318404,SRR5318404,pathogen_detection
SRR5318409,SRR5318409,pathogen_detection
SRR5318410,SRR5318410,pathogen_detection
SRR5318411,SRR5318411,pathogen_detection
SRR5318412,SRR5318412,pathogen_detection
SRR5318413,SRR5318413,pathogen_detection
SRR5318414,SRR5318414,pathogen_detection
SRR5328060,SRR5328060,pathogen_detection
SRR5328061,SRR5328061,pathogen_detection
SRR5328069,SRR5328069,pathogen_detection
SRR5328070,SRR5328070,pathogen_detection
SRR5328948,SRR5328948,pathogen_detection
SRR5329204,SRR5329204,pathogen_detection
SRR5329205,SRR5329205,pathogen_detection
SRR5329206,SRR5329206,pathogen_detection
SRR5329207,SRR5329207,pathogen_detection
SRR5329208,SRR5329208,pathogen_detection
SRR5329209,SRR5329209,pathogen_detection
SRR5329210,SRR5329210,pathogen_detection
SRR5329211,SRR5329211,pathogen_detection
SRR5329212,SRR5329212,pathogen_detection
SRR5329214,SRR5329214,pathogen_detection
SRR5329215,SRR5329215,pathogen_detection
SRR5329216,SRR5329216,pathogen_detection
SRR5329217,SRR5329217,pathogen_detection
SRR5329218,SRR5329218,pathogen_detection
SRR5329219,SRR5329219,pathogen_detection
SRR5329220,SRR5329220,pathogen_detection
SRR5329221,SRR5329221,pathogen_detection
SRR5329222,SRR5329222,pathogen_detection
SRR5329223,SRR5329223,pathogen_detection
SRR5329224,SRR5329224,pathogen_detection
SRR5329225,SRR5329225,pathogen_detection
SRR5329226,SRR5329226,pathogen_detection
SRR5329227,SRR5329227,pathogen_detection
SRR5329228,SRR5329228,pathogen_detection
SRR5329229,SRR5329229,pathogen_detection
SRR5329230,SRR5329230,pathogen_detection
SRR5329231,SRR5329231,pathogen_detection
SRR5329232,SRR5329232,pathogen_detection
SRR5329233,SRR5329233,pathogen_detection
SRR5329234,SRR5329234,pathogen_detection
SRR5329242,SRR5329242,pathogen_detection
SRR5329243,SRR5329243,pathogen_detection
SRR5329247,SRR5329247,pathogen_detection
SRR5329252,SRR5329252,pathogen_detection
SRR5329261,SRR5329261,pathogen_detection
SRR5329290,SRR5329290,pathogen_detection
SRR5329292,SRR5329292,pathogen_detection
SRR5329390,SRR5329390,pathogen_detection
SRR5329391,SRR5329391,pathogen_detection
SRR5330831,SRR5330831,pathogen_detection
SRR5333070,SRR5333070,pathogen_detection
SRR5333071,SRR5333071,pathogen_detection
SRR5333072,SRR5333072,pathogen_detection
SRR5333073,SRR5333073,pathogen_detection
SRR5333074,SRR5333074,pathogen_detection
SRR5333075,SRR5333075,pathogen_detection
SRR5328941,SRR5328941,pathogen_detection
SRR5328942,SRR5328942,pathogen_detection
SRR5328943,SRR5328943,pathogen_detection
SRR5328944,SRR5328944,pathogen_detection
SRR5328945,SRR5328945,pathogen_detection
SRR5328946,SRR5328946,pathogen_detection
SRR5328947,SRR5328947,pathogen_detection
SRR5328949,SRR5328949,pathogen_detection
SRR5338274,SRR5338274,pathogen_detection
SRR5338275,SRR5338275,pathogen_detection
SRR5338276,SRR5338276,pathogen_detection
SRR5338278,SRR5338278,pathogen_detection
SRR5338279,SRR5338279,pathogen_detection
SRR5338280,SRR5338280,pathogen_detection
SRR5338281,SRR5338281,pathogen_detection
SRR5338505,SRR5338505,pathogen_detection
SRR5338508,SRR5338508,pathogen_detection
SRR5342849,SRR5342849,pathogen_detection
SRR5342854,SRR5342854,pathogen_detection
SRR5342857,SRR5342857,pathogen_detection
SRR5342860,SRR5342860,pathogen_detection
SRR5342861,SRR5342861,pathogen_detection
SRR5342865,SRR5342865,pathogen_detection
SRR5342867,SRR5342867,pathogen_detection
SRR5342871,SRR5342871,pathogen_detection
SRR5342873,SRR5342873,pathogen_detection
SRR5342874,SRR5342874,pathogen_detection
SRR5342922,SRR5342922,pathogen_detection
SRR5342951,SRR5342951,pathogen_detection
SRR5342956,SRR5342956,pathogen_detection
SRR5342959,SRR5342959,pathogen_detection
SRR5344727,SRR5344727,pathogen_detection
SRR5344731,SRR5344731,pathogen_detection
SRR5344732,SRR5344732,pathogen_detection
SRR5344735,SRR5344735,pathogen_detection
SRR5344739,SRR5344739,pathogen_detection
SRR5344741,SRR5344741,pathogen_detection
SRR5344743,SRR5344743,pathogen_detection
SRR5344744,SRR5344744,pathogen_detection
SRR5344745,SRR5344745,pathogen_detection
SRR5344746,SRR5344746,pathogen_detection
SRR5344748,SRR5344748,pathogen_detection
SRR5344750,SRR5344750,pathogen_detection
SRR5364988,SRR5364988,pathogen_detection
SRR5364989,SRR5364989,pathogen_detection
SRR5364992,SRR5364992,pathogen_detection
SRR5364994,SRR5364994,pathogen_detection
SRR5364995,SRR5364995,pathogen_detection
SRR5364998,SRR5364998,pathogen_detection
SRR5365000,SRR5365000,pathogen_detection
SRR5365001,SRR5365001,pathogen_detection
SRR5365002,SRR5365002,pathogen_detection
SRR5365003,SRR5365003,pathogen_detection
SRR5365004,SRR5365004,pathogen_detection
SRR5365005,SRR5365005,pathogen_detection
SRR5365006,SRR5365006,pathogen_detection
SRR5365007,SRR5365007,pathogen_detection
SRR5365008,SRR5365008,pathogen_detection
SRR5365050,SRR5365050,pathogen_detection
SRR5365067,SRR5365067,pathogen_detection
SRR5365068,SRR5365068,pathogen_detection
SRR5365081,SRR5365081,pathogen_detection
SRR5365083,SRR5365083,pathogen_detection
SRR5365084,SRR5365084,pathogen_detection
SRR5365085,SRR5365085,pathogen_detection
SRR5365086,SRR5365086,pathogen_detection
SRR5365087,SRR5365087,pathogen_detection
SRR5365088,SRR5365088,pathogen_detection
SRR5365089,SRR5365089,pathogen_detection
SRR5365095,SRR5365095,pathogen_detection
SRR5366301,SRR5366301,pathogen_detection
SRR5366302,SRR5366302,pathogen_detection
SRR5366323,SRR5366323,pathogen_detection
SRR5366324,SRR5366324,pathogen_detection
SRR5366325,SRR5366325,pathogen_detection
SRR5366326,SRR5366326,pathogen_detection
SRR5366327,SRR5366327,pathogen_detection
SRR5366328,SRR5366328,pathogen_detection
SRR5366624,SRR5366624,pathogen_detection
SRR5366626,SRR5366626,pathogen_detection
SRR5366647,SRR5366647,pathogen_detection
SRR5366648,SRR5366648,pathogen_detection
SRR5367669,SRR5367669,pathogen_detection
SRR5367670,SRR5367670,pathogen_detection
SRR5367671,SRR5367671,pathogen_detection
SRR5367672,SRR5367672,pathogen_detection
SRR5367673,SRR5367673,pathogen_detection
SRR5367674,SRR5367674,pathogen_detection
SRR5367675,SRR5367675,pathogen_detection
SRR5367676,SRR5367676,pathogen_detection
SRR5367677,SRR5367677,pathogen_detection
SRR5367678,SRR5367678,pathogen_detection
SRR5367679,SRR5367679,pathogen_detection
SRR5367680,SRR5367680,pathogen_detection
SRR5367681,SRR5367681,pathogen_detection
SRR5367682,SRR5367682,pathogen_detection
SRR5367683,SRR5367683,pathogen_detection
SRR5367684,SRR5367684,pathogen_detection
SRR5367685,SRR5367685,pathogen_detection
SRR5367686,SRR5367686,pathogen_detection
SRR5367687,SRR5367687,pathogen_detection
SRR5367688,SRR5367688,pathogen_detection
SRR5367689,SRR5367689,pathogen_detection
SRR5367690,SRR5367690,pathogen_detection
SRR5367691,SRR5367691,pathogen_detection
SRR5367693,SRR5367693,pathogen_detection
SRR5367694,SRR5367694,pathogen_detection
SRR5367696,SRR5367696,pathogen_detection
SRR5367697,SRR5367697,pathogen_detection
SRR5367698,SRR5367698,pathogen_detection
SRR5367699,SRR5367699,pathogen_detection
SRR5367703,SRR5367703,pathogen_detection
SRR5367705,SRR5367705,pathogen_detection
SRR5367706,SRR5367706,pathogen_detection
SRR5367707,SRR5367707,pathogen_detection
SRR5368980,SRR5368980,pathogen_detection
SRR5368981,SRR5368981,pathogen_detection
SRR5368982,SRR5368982,pathogen_detection
SRR5368983,SRR5368983,pathogen_detection
SRR5368984,SRR5368984,pathogen_detection
SRR5368985,SRR5368985,pathogen_detection
SRR5371535,SRR5371535,pathogen_detection
SRR5371536,SRR5371536,pathogen_detection
SRR5371537,SRR5371537,pathogen_detection
SRR5371538,SRR5371538,pathogen_detection
SRR5371539,SRR5371539,pathogen_detection
SRR5371540,SRR5371540,pathogen_detection
SRR5371544,SRR5371544,pathogen_detection
SRR5371545,SRR5371545,pathogen_detection
SRR5379186,SRR5379186,pathogen_detection
SRR5379194,SRR5379194,pathogen_detection
SRR5379200,SRR5379200,pathogen_detection
SRR5379221,SRR5379221,pathogen_detection
SRR5379222,SRR5379222,pathogen_detection
SRR5379229,SRR5379229,pathogen_detection
SRR5379230,SRR5379230,pathogen_detection
SRR5379234,SRR5379234,pathogen_detection
SRR5379238,SRR5379238,pathogen_detection
SRR5379241,SRR5379241,pathogen_detection
SRR5379247,SRR5379247,pathogen_detection
SRR5379250,SRR5379250,pathogen_detection
SRR5379261,SRR5379261,pathogen_detection
SRR5379265,SRR5379265,pathogen_detection
SRR5379270,SRR5379270,pathogen_detection
SRR5379285,SRR5379285,pathogen_detection
SRR5379288,SRR5379288,pathogen_detection
SRR5379295,SRR5379295,pathogen_detection
SRR5379365,SRR5379365,pathogen_detection
SRR5382469,SRR5382469,pathogen_detection
SRR5382471,SRR5382471,pathogen_detection
SRR5382472,SRR5382472,pathogen_detection
SRR5382473,SRR5382473,pathogen_detection
SRR5382511,SRR5382511,pathogen_detection
SRR5385209,SRR5385209,pathogen_detection
SRR5385210,SRR5385210,pathogen_detection
SRR5385211,SRR5385211,pathogen_detection
SRR5385212,SRR5385212,pathogen_detection
SRR5385213,SRR5385213,pathogen_detection
SRR5385215,SRR5385215,pathogen_detection
SRR5385217,SRR5385217,pathogen_detection
SRR5385218,SRR5385218,pathogen_detection
SRR5385219,SRR5385219,pathogen_detection
SRR5385220,SRR5385220,pathogen_detection
SRR5385221,SRR5385221,pathogen_detection
SRR5385222,SRR5385222,pathogen_detection
SRR5385223,SRR5385223,pathogen_detection
SRR5385224,SRR5385224,pathogen_detection
SRR5385225,SRR5385225,pathogen_detection
SRR5385226,SRR5385226,pathogen_detection
SRR5385227,SRR5385227,pathogen_detection
SRR5385228,SRR5385228,pathogen_detection
SRR5385229,SRR5385229,pathogen_detection
SRR5385230,SRR5385230,pathogen_detection
SRR5385231,SRR5385231,pathogen_detection
SRR5385232,SRR5385232,pathogen_detection
SRR5385233,SRR5385233,pathogen_detection
SRR5385234,SRR5385234,pathogen_detection
SRR5395832,SRR5395832,pathogen_detection
SRR5395837,SRR5395837,pathogen_detection
SRR5395838,SRR5395838,pathogen_detection
SRR5395839,SRR5395839,pathogen_detection
SRR5395840,SRR5395840,pathogen_detection
SRR5395841,SRR5395841,pathogen_detection
SRR5395962,SRR5395962,pathogen_detection
SRR5395963,SRR5395963,pathogen_detection
SRR5395964,SRR5395964,pathogen_detection
SRR5395965,SRR5395965,pathogen_detection
SRR5395966,SRR5395966,pathogen_detection
SRR5396584,SRR5396584,pathogen_detection
SRR5396585,SRR5396585,pathogen_detection
SRR5396586,SRR5396586,pathogen_detection
SRR5396587,SRR5396587,pathogen_detection
SRR5396588,SRR5396588,pathogen_detection
SRR5396589,SRR5396589,pathogen_detection
SRR5400281,SRR5400281,pathogen_detection
SRR5400282,SRR5400282,pathogen_detection
SRR5400328,SRR5400328,pathogen_detection
SRR5400329,SRR5400329,pathogen_detection
SRR5400330,SRR5400330,pathogen_detection
SRR5400331,SRR5400331,pathogen_detection
SRR5400332,SRR5400332,pathogen_detection
SRR5400334,SRR5400334,pathogen_detection
SRR5400335,SRR5400335,pathogen_detection
SRR5400337,SRR5400337,pathogen_detection
SRR5400338,SRR5400338,pathogen_detection
SRR5400339,SRR5400339,pathogen_detection
SRR5400340,SRR5400340,pathogen_detection
SRR5400341,SRR5400341,pathogen_detection
SRR5409304,SRR5409304,pathogen_detection
SRR5409305,SRR5409305,pathogen_detection
SRR5409306,SRR5409306,pathogen_detection
SRR5409307,SRR5409307,pathogen_detection
SRR5409308,SRR5409308,pathogen_detection
SRR5420065,SRR5420065,pathogen_detection
SRR5420067,SRR5420067,pathogen_detection
SRR5420068,SRR5420068,pathogen_detection
SRR5434856,SRR5434856,pathogen_detection
SRR5434857,SRR5434857,pathogen_detection
SRR5434859,SRR5434859,pathogen_detection
SRR5434862,SRR5434862,pathogen_detection
SRR5434863,SRR5434863,pathogen_detection
SRR5434864,SRR5434864,pathogen_detection
SRR5434865,SRR5434865,pathogen_detection
SRR5434866,SRR5434866,pathogen_detection
SRR5434867,SRR5434867,pathogen_detection
SRR5434868,SRR5434868,pathogen_detection
SRR5434869,SRR5434869,pathogen_detection
SRR5434875,SRR5434875,pathogen_detection
SRR5434879,SRR5434879,pathogen_detection
SRR5434885,SRR5434885,pathogen_detection
SRR5434889,SRR5434889,pathogen_detection
SRR5434892,SRR5434892,pathogen_detection
SRR5434893,SRR5434893,pathogen_detection
SRR5434894,SRR5434894,pathogen_detection
SRR5434895,SRR5434895,pathogen_detection
SRR5434951,SRR5434951,pathogen_detection
SRR5434953,SRR5434953,pathogen_detection
SRR5434954,SRR5434954,pathogen_detection
SRR5434957,SRR5434957,pathogen_detection
SRR5434958,SRR5434958,pathogen_detection
SRR5434959,SRR5434959,pathogen_detection
SRR5434963,SRR5434963,pathogen_detection
SRR5434964,SRR5434964,pathogen_detection
SRR5434967,SRR5434967,pathogen_detection
SRR5434970,SRR5434970,pathogen_detection
SRR5434983,SRR5434983,pathogen_detection
SRR5434984,SRR5434984,pathogen_detection
SRR5434985,SRR5434985,pathogen_detection
SRR5434986,SRR5434986,pathogen_detection
SRR5434987,SRR5434987,pathogen_detection
SRR5434989,SRR5434989,pathogen_detection
SRR5434990,SRR5434990,pathogen_detection
SRR5434991,SRR5434991,pathogen_detection
SRR5434992,SRR5434992,pathogen_detection
SRR5434994,SRR5434994,pathogen_detection
SRR5434995,SRR5434995,pathogen_detection
SRR5434996,SRR5434996,pathogen_detection
SRR5434997,SRR5434997,pathogen_detection
SRR5434998,SRR5434998,pathogen_detection
SRR1573228,SRR1573228,pathogen_detection
SRR5435053,SRR5435053,pathogen_detection
SRR5436235,SRR5436235,pathogen_detection
SRR5436236,SRR5436236,pathogen_detection
SRR5436237,SRR5436237,pathogen_detection
SRR5436238,SRR5436238,pathogen_detection
SRR1573229,SRR1573229,pathogen_detection
SRR5436239,SRR5436239,pathogen_detection
SRR5436241,SRR5436241,pathogen_detection
SRR5436250,SRR5436250,pathogen_detection
SRR5436252,SRR5436252,pathogen_detection
SRR5436253,SRR5436253,pathogen_detection
SRR1573230,SRR1573230,pathogen_detection
SRR5436254,SRR5436254,pathogen_detection
SRR5436255,SRR5436255,pathogen_detection
SRR5436260,SRR5436260,pathogen_detection
SRR5436262,SRR5436262,pathogen_detection
SRR5436266,SRR5436266,pathogen_detection
SRR5436267,SRR5436267,pathogen_detection
SRR5436268,SRR5436268,pathogen_detection
SRR5436269,SRR5436269,pathogen_detection
SRR1573231,SRR1573231,pathogen_detection
SRR5436270,SRR5436270,pathogen_detection
SRR5436277,SRR5436277,pathogen_detection
SRR5436278,SRR5436278,pathogen_detection
SRR1573232,SRR1573232,pathogen_detection
SRR1573233,SRR1573233,pathogen_detection
SRR1580920,SRR1580920,pathogen_detection
SRR1580923,SRR1580923,pathogen_detection
SRR5438291,SRR5438291,pathogen_detection
SRR5438292,SRR5438292,pathogen_detection
SRR5438293,SRR5438293,pathogen_detection
SRR5438294,SRR5438294,pathogen_detection
SRR5438295,SRR5438295,pathogen_detection
SRR5438297,SRR5438297,pathogen_detection
SRR5438298,SRR5438298,pathogen_detection
SRR5438299,SRR5438299,pathogen_detection
SRR5438300,SRR5438300,pathogen_detection
SRR5438303,SRR5438303,pathogen_detection
SRR5438304,SRR5438304,pathogen_detection
SRR1580926,SRR1580926,pathogen_detection
SRR5438307,SRR5438307,pathogen_detection
SRR5438308,SRR5438308,pathogen_detection
SRR1580927,SRR1580927,pathogen_detection
SRR5438375,SRR5438375,pathogen_detection
SRR1580928,SRR1580928,pathogen_detection
SRR1580929,SRR1580929,pathogen_detection
SRR1580930,SRR1580930,pathogen_detection
SRR1580931,SRR1580931,pathogen_detection
SRR1580932,SRR1580932,pathogen_detection
SRR1580933,SRR1580933,pathogen_detection
SRR5438438,SRR5438438,pathogen_detection
SRR5438439,SRR5438439,pathogen_detection
SRR1580934,SRR1580934,pathogen_detection
SRR1581007,SRR1581007,pathogen_detection
SRR1581008,SRR1581008,pathogen_detection
SRR1581009,SRR1581009,pathogen_detection
SRR1581011,SRR1581011,pathogen_detection
SRR5093683,SRR5093683,pathogen_detection
SRR5120221,SRR5120221,pathogen_detection
SRR5120224,SRR5120224,pathogen_detection
SRR5237402,SRR5237402,pathogen_detection
SRR5341981,SRR5341981,pathogen_detection
SRR5341982,SRR5341982,pathogen_detection
SRR5398450,SRR5398450,pathogen_detection
SRR5398452,SRR5398452,pathogen_detection
SRR5420070,SRR5420070,pathogen_detection
SRR5420071,SRR5420071,pathogen_detection
SRR5445916,SRR5445916,pathogen_detection
SRR5445917,SRR5445917,pathogen_detection
SRR5445918,SRR5445918,pathogen_detection
SRR5445921,SRR5445921,pathogen_detection
SRR5445919,SRR5445919,pathogen_detection
SRR5445922,SRR5445922,pathogen_detection
ERR1195569,ERR1195569,pathogen_detection
ERR1195592,ERR1195592,pathogen_detection
ERR1195663,ERR1195663,pathogen_detection
ERR712463,ERR712463,pathogen_detection
ERR712465,ERR712465,pathogen_detection
ERR712467,ERR712467,pathogen_detection
ERR712470,ERR712470,pathogen_detection
ERR712471,ERR712471,pathogen_detection
ERR712472,ERR712472,pathogen_detection
ERR712475,ERR712475,pathogen_detection
ERR712480,ERR712480,pathogen_detection
ERR712481,ERR712481,pathogen_detection
ERR712485,ERR712485,pathogen_detection
ERR712489,ERR712489,pathogen_detection
ERR712490,ERR712490,pathogen_detection
ERR712495,ERR712495,pathogen_detection
ERR712496,ERR712496,pathogen_detection
ERR712499,ERR712499,pathogen_detection
ERR712502,ERR712502,pathogen_detection
ERR712504,ERR712504,pathogen_detection
ERR712506,ERR712506,pathogen_detection
ERR712511,ERR712511,pathogen_detection
ERR712515,ERR712515,pathogen_detection
ERR712516,ERR712516,pathogen_detection
ERR712519,ERR712519,pathogen_detection
ERR712522,ERR712522,pathogen_detection
ERR712525,ERR712525,pathogen_detection
ERR712526,ERR712526,pathogen_detection
ERR712528,ERR712528,pathogen_detection
ERR712531,ERR712531,pathogen_detection
ERR712533,ERR712533,pathogen_detection
ERR712534,ERR712534,pathogen_detection
ERR712536,ERR712536,pathogen_detection
ERR712538,ERR712538,pathogen_detection
ERR712544,ERR712544,pathogen_detection
ERR712547,ERR712547,pathogen_detection
ERR712549,ERR712549,pathogen_detection
ERR712550,ERR712550,pathogen_detection
ERR712552,ERR712552,pathogen_detection
ERR712556,ERR712556,pathogen_detection
ERR712559,ERR712559,pathogen_detection
ERR712561,ERR712561,pathogen_detection
ERR712562,ERR712562,pathogen_detection
ERR712564,ERR712564,pathogen_detection
ERR712568,ERR712568,pathogen_detection
ERR712571,ERR712571,pathogen_detection
ERR712576,ERR712576,pathogen_detection
ERR712578,ERR712578,pathogen_detection
ERR712582,ERR712582,pathogen_detection
ERR712584,ERR712584,pathogen_detection
ERR712587,ERR712587,pathogen_detection
ERR712589,ERR712589,pathogen_detection
ERR712592,ERR712592,pathogen_detection
ERR712594,ERR712594,pathogen_detection
ERR712596,ERR712596,pathogen_detection
ERR712598,ERR712598,pathogen_detection
ERR712603,ERR712603,pathogen_detection
ERR712604,ERR712604,pathogen_detection
ERR712612,ERR712612,pathogen_detection
ERR712613,ERR712613,pathogen_detection
ERR712614,ERR712614,pathogen_detection
ERR712617,ERR712617,pathogen_detection
ERR712619,ERR712619,pathogen_detection
ERR712622,ERR712622,pathogen_detection
ERR712629,ERR712629,pathogen_detection
ERR712630,ERR712630,pathogen_detection
ERR712633,ERR712633,pathogen_detection
ERR712635,ERR712635,pathogen_detection
ERR712659,ERR712659,pathogen_detection
ERR712660,ERR712660,pathogen_detection
ERR712662,ERR712662,pathogen_detection
ERR712664,ERR712664,pathogen_detection
ERR712667,ERR712667,pathogen_detection
ERR712668,ERR712668,pathogen_detection
ERR712670,ERR712670,pathogen_detection
ERR712672,ERR712672,pathogen_detection
ERR712674,ERR712674,pathogen_detection
ERR712676,ERR712676,pathogen_detection
ERR712678,ERR712678,pathogen_detection
ERR712679,ERR712679,pathogen_detection
ERR712683,ERR712683,pathogen_detection
ERR712686,ERR712686,pathogen_detection
ERR712690,ERR712690,pathogen_detection
ERR712691,ERR712691,pathogen_detection
ERR712692,ERR712692,pathogen_detection
ERR712696,ERR712696,pathogen_detection
ERR712697,ERR712697,pathogen_detection
ERR712698,ERR712698,pathogen_detection
ERR712699,ERR712699,pathogen_detection
ERR712751,ERR712751,pathogen_detection
ERR712752,ERR712752,pathogen_detection
ERR712756,ERR712756,pathogen_detection
ERR712757,ERR712757,pathogen_detection
ERR712758,ERR712758,pathogen_detection
ERR712763,ERR712763,pathogen_detection
ERR712764,ERR712764,pathogen_detection
ERR712767,ERR712767,pathogen_detection
ERR712769,ERR712769,pathogen_detection
ERR712770,ERR712770,pathogen_detection
ERR712771,ERR712771,pathogen_detection
ERR712775,ERR712775,pathogen_detection
ERR712777,ERR712777,pathogen_detection
ERR712778,ERR712778,pathogen_detection
ERR712781,ERR712781,pathogen_detection
ERR712782,ERR712782,pathogen_detection
ERR712843,ERR712843,pathogen_detection
ERR712844,ERR712844,pathogen_detection
ERR712845,ERR712845,pathogen_detection
ERR712846,ERR712846,pathogen_detection
ERR712870,ERR712870,pathogen_detection
ERR712897,ERR712897,pathogen_detection
ERR712898,ERR712898,pathogen_detection
ERR712905,ERR712905,pathogen_detection
ERR712906,ERR712906,pathogen_detection
SRR5448739,SRR5448739,pathogen_detection
SRR5448740,SRR5448740,pathogen_detection
SRR5448741,SRR5448741,pathogen_detection
SRR5448742,SRR5448742,pathogen_detection
SRR5448743,SRR5448743,pathogen_detection
SRR5448744,SRR5448744,pathogen_detection
SRR5448745,SRR5448745,pathogen_detection
SRR5448746,SRR5448746,pathogen_detection
SRR5448747,SRR5448747,pathogen_detection
SRR5448748,SRR5448748,pathogen_detection
SRR5448749,SRR5448749,pathogen_detection
SRR5448750,SRR5448750,pathogen_detection
SRR5448751,SRR5448751,pathogen_detection
SRR5448752,SRR5448752,pathogen_detection
SRR5448755,SRR5448755,pathogen_detection
SRR5448756,SRR5448756,pathogen_detection
SRR5445911,SRR5445911,pathogen_detection
SRR5452077,SRR5452077,pathogen_detection
SRR5457734,SRR5457734,pathogen_detection
SRR5457735,SRR5457735,pathogen_detection
SRR5457736,SRR5457736,pathogen_detection
SRR5457737,SRR5457737,pathogen_detection
SRR5457738,SRR5457738,pathogen_detection
SRR5457750,SRR5457750,pathogen_detection
SRR5457751,SRR5457751,pathogen_detection
SRR5457752,SRR5457752,pathogen_detection
SRR5457753,SRR5457753,pathogen_detection
SRR5457754,SRR5457754,pathogen_detection
SRR5457755,SRR5457755,pathogen_detection
SRR5457756,SRR5457756,pathogen_detection
SRR5457757,SRR5457757,pathogen_detection
SRR5457758,SRR5457758,pathogen_detection
SRR5457759,SRR5457759,pathogen_detection
SRR5457760,SRR5457760,pathogen_detection
SRR5457761,SRR5457761,pathogen_detection
SRR5457762,SRR5457762,pathogen_detection
SRR5457763,SRR5457763,pathogen_detection
SRR5457764,SRR5457764,pathogen_detection
SRR5457765,SRR5457765,pathogen_detection
SRR5457767,SRR5457767,pathogen_detection
SRR5457786,SRR5457786,pathogen_detection
SRR5457787,SRR5457787,pathogen_detection
SRR5457788,SRR5457788,pathogen_detection
SRR5457790,SRR5457790,pathogen_detection
SRR5461613,SRR5461613,pathogen_detection
SRR5461614,SRR5461614,pathogen_detection
SRR5461650,SRR5461650,pathogen_detection
SRR5461658,SRR5461658,pathogen_detection
SRR5461659,SRR5461659,pathogen_detection
SRR5461663,SRR5461663,pathogen_detection
SRR5461664,SRR5461664,pathogen_detection
SRR5461665,SRR5461665,pathogen_detection
SRR5461666,SRR5461666,pathogen_detection
SRR5461668,SRR5461668,pathogen_detection
SRR5461669,SRR5461669,pathogen_detection
SRR5461670,SRR5461670,pathogen_detection
SRR5461671,SRR5461671,pathogen_detection
SRR5461672,SRR5461672,pathogen_detection
SRR5461673,SRR5461673,pathogen_detection
SRR5461674,SRR5461674,pathogen_detection
SRR5461675,SRR5461675,pathogen_detection
SRR5461676,SRR5461676,pathogen_detection
SRR5461677,SRR5461677,pathogen_detection
SRR5461678,SRR5461678,pathogen_detection
SRR5461688,SRR5461688,pathogen_detection
SRR5461690,SRR5461690,pathogen_detection
SRR5462320,SRR5462320,pathogen_detection
SRR5462321,SRR5462321,pathogen_detection
SRR5461667,SRR5461667,pathogen_detection
SRR5464521,SRR5464521,pathogen_detection
SRR5464525,SRR5464525,pathogen_detection
SRR5464526,SRR5464526,pathogen_detection
SRR5464527,SRR5464527,pathogen_detection
SRR5464528,SRR5464528,pathogen_detection
SRR5464529,SRR5464529,pathogen_detection
SRR5464530,SRR5464530,pathogen_detection
SRR5464531,SRR5464531,pathogen_detection
SRR5464533,SRR5464533,pathogen_detection
SRR5470154,SRR5470154,pathogen_detection
SRR5470155,SRR5470155,pathogen_detection
SRR5470157,SRR5470157,pathogen_detection
SRR5470158,SRR5470158,pathogen_detection
SRR5470160,SRR5470160,pathogen_detection
SRR5470161,SRR5470161,pathogen_detection
SRR5470162,SRR5470162,pathogen_detection
SRR5470164,SRR5470164,pathogen_detection
SRR5470165,SRR5470165,pathogen_detection
