"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5612129,ERS357913,11679_8#70,ERR435552
2796STDY5612207,ERS357990,11679_8#74,ERR435556
2796STDY5612384,ERS358165,11679_8#84,ERR435566
2796STDY5612387,ERS358168,11679_8#85,ERR435567
2796STDY5612388,ERS358169,11679_8#86,ERR435568
2796STDY5612395,ERS358176,11679_8#87,ERR435569
2796STDY5611547,ERS357356,11791_3#26,ERR439558
2796STDY5611583,ERS357386,11791_3#32,ERR439564
2796STDY5611814,ERS357614,11791_3#43,ERR439575
2796STDY5611870,ERS357667,11791_3#49,ERR439581
2796STDY5611948,ERS357745,11791_3#58,ERR439590
2796STDY5612007,ERS357800,11791_3#62,ERR439594
2796STDY5612357,ERS358138,11791_3#69,ERR439601
2796STDY5612397,ERS358178,11791_3#81,ERR439613
2796STDY5612449,ERS358229,11791_3#92,ERR439624
2796STDY5610927,ERS356757,11791_6#1,ERR439629
2796STDY5611081,ERS356910,11791_6#7,ERR439635
2796STDY5611109,ERS356937,11791_6#9,ERR439636
2796STDY5611396,ERS357207,11791_6#11,ERR439638
2796STDY5612008,ERS357801,11791_6#24,ERR439651
2796STDY5612024,ERS357817,11791_6#25,ERR439652
2796STDY5612174,ERS357957,11791_6#30,ERR439657
2796STDY5612196,ERS357979,11791_6#32,ERR439658
2796STDY5612324,ERS358106,11791_6#37,ERR439663
2796STDY5610924,ERS356754,11791_7#2,ERR439667
2796STDY5610938,ERS356768,11791_7#5,ERR439670
2796STDY5610960,ERS356790,11791_7#7,ERR439672
2796STDY5611083,ERS356912,11791_7#21,ERR439685
2796STDY5611598,ERS357401,11791_7#45,ERR439707
2796STDY5611626,ERS357429,11791_7#49,ERR439711
2796STDY5611630,ERS357433,11791_7#50,ERR439712
2796STDY5611681,ERS357482,11791_7#55,ERR439717
2796STDY5611739,ERS357540,11791_7#59,ERR439721
2796STDY5611751,ERS357552,11791_7#60,ERR439722
3380STDY6001661,ERS575919,14937_6#3,ERR775884
3380STDY6001664,ERS575925,14937_6#6,ERR775887
3380STDY6001665,ERS575927,14937_6#7,ERR775888
3380STDY6001671,ERS575940,14937_6#13,ERR775894
3380STDY6001672,ERS575942,14937_6#14,ERR775895
3380STDY6001674,ERS575946,14937_6#16,ERR775897
3380STDY6001675,ERS575948,14937_6#17,ERR775898
3380STDY6001678,ERS575954,14937_6#20,ERR775901
3380STDY6001681,ERS575961,14937_6#23,ERR775904
3380STDY6001684,ERS575967,14937_6#26,ERR775907
3380STDY6001688,ERS575975,14937_6#30,ERR775911
3380STDY6001690,ERS575979,14937_6#32,ERR775913
3380STDY6001692,ERS575983,14937_6#34,ERR775915
3380STDY6001694,ERS575987,14937_6#36,ERR775917
3380STDY6001695,ERS575989,14937_6#37,ERR775918
3380STDY6001698,ERS575995,14937_6#40,ERR775921
3380STDY6001701,ERS576001,14937_6#43,ERR775924
3380STDY6001704,ERS576004,14937_6#46,ERR775927
3380STDY6001705,ERS576005,14937_6#47,ERR775928
3380STDY6001709,ERS576009,14937_6#51,ERR775932
3380STDY6001710,ERS576010,14937_6#52,ERR775933
3380STDY6001712,ERS576012,14937_6#54,ERR775935
3380STDY6001719,ERS576019,14937_6#61,ERR775942
3380STDY6001727,ERS575872,14937_6#68,ERR775949
3380STDY6001729,ERS575876,14937_6#70,ERR775951
3380STDY6001730,ERS575878,14937_6#71,ERR775952
3380STDY6001735,ERS575887,14937_6#76,ERR775957
3380STDY6001742,ERS575901,14937_6#83,ERR775964
3380STDY6001743,ERS575903,14937_6#84,ERR775965
3380STDY6001744,ERS575905,14937_6#85,ERR775966
3380STDY6001822,ERS576025,14937_7#3,ERR775970
3380STDY6001830,ERS576035,14937_7#5,ERR775972
3380STDY6001835,ERS576045,14937_7#6,ERR775973
3380STDY6001843,ERS576060,14937_7#7,ERR775974
3380STDY6001844,ERS576061,14937_7#8,ERR775975
3380STDY6001850,ERS576073,14937_7#9,ERR775976
3380STDY6001853,ERS576078,14937_7#10,ERR775977
3380STDY6001855,ERS576082,14937_7#11,ERR775978
3380STDY6001856,ERS576085,14937_7#12,ERR775979
3380STDY6001859,ERS576090,14937_7#13,ERR775980
